Data Set (ARI),Type,SOM (Fed),KMeans - device min clusters - server min rep points (Fed),KMeans - device min clusters - server mid rep points (Fed),KMeans - device min clusters - server max rep points (Fed),KMeans - device mid clusters - server min rep points (Fed),KMeans - device mid clusters - server mid rep points (Fed),KMeans - device mid clusters - server max rep points (Fed),KMeans - device max clusters - server min rep points (Fed),KMeans - device max clusters - server mid rep points (Fed),KMeans - device max clusters - server max rep points (Fed),KMeans Carry - device min clusters - server min rep points (Fed),KMeans Carry - device min clusters - server mid rep points (Fed),KMeans Carry - device min clusters - server max rep points (Fed),KMeans Carry - device mid clusters - server min rep points (Fed),KMeans Carry - device mid clusters - server mid rep points (Fed),KMeans Carry - device mid clusters - server max rep points (Fed),KMeans Carry - device max clusters - server min rep points (Fed),KMeans Carry - device max clusters - server mid rep points (Fed),KMeans Carry - device max clusters - server max rep points (Fed),KMeans Keep - device min clusters - server min rep points (Fed),KMeans Keep - device min clusters - server mid rep points (Fed),KMeans Keep - device min clusters - server max rep points (Fed),KMeans Keep - device mid clusters - server min rep points (Fed),KMeans Keep - device mid clusters - server mid rep points (Fed),KMeans Keep - device mid clusters - server max rep points (Fed),KMeans Keep - device max clusters - server min rep points (Fed),KMeans Keep - device max clusters - server mid rep points (Fed),KMeans Keep - device max clusters - server max rep points (Fed)
longblobs,vhigh,0.17948406916485912,0.23005210774739923,0.26110971448863285,-1.4561703195637672e-05,0.2869567977901327,0.33276772140848243,0.001774431913835998,0.03603275839033215,0.12339670939290445,-1.4561703195637672e-05,0.24821236286186252,0.2736462973053325,0.008870616813497226,0.022091134357087955,0.22684764641062552,0.00022568334398972347,0.16478165371732223,0.06806895251167398,-1.4561703195637672e-05,0.266732033816851,0.12834780135546425,-1.4561703195637672e-05,0.0561079438681717,-9.193768092663232e-06,-1.4561703195637672e-05,0.08407853307655525,0.07481431981215284,-4.118503218865968e-05
longblobs,high,0.23668752620197367,0.08709256267839731,0.3197252614410239,0.010501090957973247,0.04983169321572329,-4.980396883592403e-05,0.0011692112270428193,0.03251362631102273,0.23631978032263018,5.678821096372178e-05,0.23850553097651142,0.221151814704332,-3.753101902713226e-05,0.07512656103840998,0.25893727847974735,0.015825763928925464,0.021026664461124202,0.12238515115552498,-1.4561703195637672e-05,0.100281123109063,-0.0001602176101051952,-1.4561703195637672e-05,0.025821592275728753,0.18632053290715797,0.016780186367319504,0.05491105927637582,0.23478410951902726,0.004941593746056604
longblobs,med,0.2599224721340221,0.18628877664836507,-0.00012937494454134203,0.0012676180162543562,0.11579774749768736,0.00047255778536986096,-1.4561703195637672e-05,0.13091693105106017,0.1794019272009346,-9.193768092663232e-06,0.11555539472987869,0.08855653078051541,0.001540193463936945,0.1557452992601553,0.09486274445964839,0.0007002683718294408,0.2305669800941855,0.2598681866715329,1.4637379713600204e-05,0.1362164680065913,0.23768242909212473,9.059844146935257e-05,0.14872305857242685,0.18788456111188057,0.009054721935037816,0.017208511846276503,0.39818908446451284,0.015122620162895858
longblobs,low,0.21775191594605034,0.18557911101623245,0.6146456707420186,-2.538968548135585e-06,0.23845640382157826,0.23248212455382905,0.02392659705469826,0.17633675304336685,0.41168941137515236,0.00022661075751244183,0.3132788530683254,0.1306528141163534,0.5451244276565659,0.0459392693883415,0.24924500070835354,5.404234404593333e-06,0.35954133273932265,0.16087666626170669,1.4637379713600204e-05,0.2630850652147257,0.30089677656369745,-0.00011156233335767562,0.36936721702666986,0.4078150428311296,8.09273568099383e-05,0.024120807676752454,0.2726827875310211,0.010038603560723799
longblobs,vlow,0.3087772225831296,0.298878671356047,0.5725621946753271,0.5647290910714156,0.18693298851348278,0.481461864883623,-2.538968548135585e-06,0.11328020145487236,0.7017754693312581,-2.538968548135585e-06,0.8746571767843301,0.4223608050923462,-0.0001378998405323859,0.0857259504486528,0.2412735956433953,1.4637379713600204e-05,0.06420744703827451,0.4560853333541778,1.4637379713600204e-05,0.593420136879121,0.18524333495956682,-4.022307036616778e-05,0.1436737672977137,0.3028473087598727,0.00022661075751244183,0.44272246908519014,0.28465198980716305,-2.538968548135585e-06
blobs,vhigh,0.2737958867174831,0.314844915335171,0.12427868461746792,0.0008466117365172641,0.16679737465836617,0.28141352237508127,0.0003924265009833925,0.13023280878891436,0.09485713377277898,0.05756371613083736,0.3168781747756202,0.314576494758077,0.00018488146539029831,0.17343419752746078,0.3425483270067657,0.0001524445624673936,0.006492218239731506,0.26371785564177785,0.0005066413334055312,0.1869467027931656,0.01968573774557341,2.0123424796592162e-05,0.268628565044542,0.3720139085388881,0.00012500106412441028,0.33670442203533135,0.04088172808313768,0.030636957235199845
blobs,high,0.4952785499077359,0.3307677548745873,0.2018520734039403,7.925073772652923e-05,0.04054872887641372,0.07869648659875528,0.008756643361815112,0.40572223516993006,0.16914680431799275,0.0047338158532198495,0.38207454624029674,0.10277408634598051,0.0007194962094935085,0.2256347679295186,0.46681516486363733,0.0018303338284898036,0.28029162165337035,0.3561235800722356,0.0018572671968218675,0.11996906671729907,0.5985084120034436,0.00035795009247723155,0.34550419223583917,0.3127694578627545,0.0033246691730179287,0.02196179582205954,0.2722834798504556,0.021809790250282016
blobs,med,0.5001557245807718,0.3258045542968704,0.26534580677020914,0.42512603633749924,0.6951077393427872,0.2285733674782306,0.002481278914507308,0.20596123250360793,0.32803615489824955,0.0005202517731433319,0.4071765673193242,0.08577307301771055,0.040230266801025906,0.42139375371834353,0.22357370769582657,0.0037512384142852594,0.06694031731427282,0.027823539190537906,0.004329415939835959,0.33252493671643124,0.17702090917186294,0.0001421597802178619,0.21775348824784163,0.09295945862859074,0.001096591188769614,0.2527237886016497,0.11227116158542308,0.0004892086554826849
blobs,low,0.5395216499297505,0.8654447252478672,0.4891359661283126,0.555130403983363,0.11122182112362987,0.40896519405134624,0.00025676315890297175,0.004424518543515201,0.07713449051483263,0.00039010073464439615,0.3842284893430985,0.45876268852815105,0.0033575128281321245,0.009549114154600583,0.20027406632069356,0.00022332221449752367,0.1938754516422123,0.3611614897923673,0.00019839087311795443,0.02197907672125569,0.09988121795378462,0.0004196176105076251,0.34781171786229964,0.7222753051387547,0.5584963695854899,0.26054060137455015,0.3097983047510649,0.000531881120794347
blobs,vlow,0.5666873663814714,1.0,1.0,1.0,0.541809767071922,1.0,1.0,0.9893133850402788,0.9952358456386021,1.0,1.0,1.0,1.0,0.44349648471979713,0.9975998870181918,1.0,0.9988067860397731,0.5572873637175743,1.0,1.0,1.0,1.0,0.923125677852295,1.0,1.0,0.9988067860397731,0.5543887553149188,1.0
